timestamp,text,channel,sentiment,emotion,type,urgency,confidence
2025-07-21 21:59:28.441183,"Awesome service, thanks!",chat,positive,joy,praise,low,0.997
2025-07-21 21:59:32.060163,"Awesome service, thanks!",chat,positive,joy,praise,low,0.997
2025-07-21 21:59:35.125501,Driver marked delivered but nothing here!,chat,negative,anger,complaint,medium,0.921
2025-07-21 21:59:39.106996,"Don't ring the bell, baby sleeping.",chat,negative,fear,request,medium,0.482
2025-07-21 21:59:42.734296,Update me on the status?,chat,negative,joy,request,medium,0.801
2025-07-21 21:59:46.584352,Need sauces with the order.,chat,negative,anger,complaint,medium,0.804
2025-07-21 21:59:50.401006,My food arrived cold again!,chat,negative,anger,complaint,medium,0.998
2025-07-21 21:59:53.987605,Refund me NOW!,chat,negative,anger,complaint,high,0.562
2025-07-21 21:59:57.055840,"Awesome service, thanks!",chat,positive,joy,praise,low,0.997
2025-07-21 22:00:00.163441,Why does it always take 60+ minutes?,chat,negative,anger,question,medium,0.619
2025-07-21 22:00:03.971366,"Don't ring the bell, baby sleeping.",chat,negative,fear,request,medium,0.482
2025-07-21 22:00:07.689055,"Awesome service, thanks!",chat,positive,joy,praise,low,0.997
2025-07-21 22:00:10.750472,"Awesome service, thanks!",chat,positive,joy,praise,low,0.997
2025-07-21 22:00:13.824163,Refund me NOW!,chat,negative,anger,complaint,high,0.562
2025-07-21 22:00:16.873371,Driver marked delivered but nothing here!,chat,negative,anger,complaint,medium,0.921
2025-07-21 22:00:20.767271,Update me on the status?,chat,negative,joy,request,medium,0.801
2025-07-21 22:00:24.374555,Need sauces with the order.,chat,negative,anger,complaint,medium,0.804
2025-07-21 22:00:27.961786,Driver marked delivered but nothing here!,chat,negative,anger,complaint,medium,0.921
2025-07-21 22:00:31.614973,Need sauces with the order.,chat,negative,anger,complaint,medium,0.804
2025-07-21 22:00:35.450482,"Awesome service, thanks!",chat,positive,joy,praise,low,0.997
2025-07-21 22:00:38.591093,Loved the packaging,chat,positive,love,praise,low,0.995
2025-07-21 22:00:41.691230,Loved the packaging,chat,positive,love,praise,low,0.995
2025-07-21 22:00:44.802349,Driver marked delivered but nothing here!,chat,negative,anger,complaint,medium,0.921
2025-07-21 22:00:48.938155,My food arrived cold again!,chat,negative,anger,complaint,medium,0.998
2025-07-21 22:00:53.170103,My food arrived cold again!,chat,negative,anger,complaint,medium,0.998
2025-07-21 22:00:56.801289,Refund me NOW!,chat,negative,anger,complaint,high,0.562
2025-07-21 22:00:59.875809,Update me on the status?,chat,negative,joy,request,medium,0.801
2025-07-21 22:01:03.585711,Need sauces with the order.,chat,negative,anger,complaint,medium,0.804
2025-07-21 22:01:07.276807,Why does it always take 60+ minutes?,chat,negative,anger,question,medium,0.619
2025-07-21 22:01:11.026186,Refund me NOW!,chat,negative,anger,complaint,high,0.562
2025-07-21 22:01:14.066169,Refund me NOW!,chat,negative,anger,complaint,high,0.562
2025-07-21 22:01:17.129853,Driver marked delivered but nothing here!,chat,negative,anger,complaint,medium,0.921
2025-07-21 22:01:21.097078,Need sauces with the order.,chat,negative,anger,complaint,medium,0.804
2025-07-21 22:01:24.893431,Super fast delivery!,chat,positive,joy,praise,low,0.994
2025-07-21 22:01:28.695483,Refund me NOW!,chat,negative,anger,complaint,high,0.562
2025-07-21 22:01:31.762485,Driver marked delivered but nothing here!,chat,negative,anger,complaint,medium,0.921
2025-07-21 22:01:35.479208,Need sauces with the order.,chat,negative,anger,complaint,medium,0.804
2025-07-21 22:01:39.594690,"Awesome service, thanks!",chat,positive,joy,praise,low,0.997
2025-07-21 22:01:42.778377,Super fast delivery!,chat,positive,joy,praise,low,0.994
